headline,press,created_at,relation,prosorcons
"현대차그룹 첨단융합안전공학과, 첫 입학생 오리엔테이션 개최",전자신문,2024.08.09.,1,n
현대차·기아 자율주행 배송로봇 도심 횡단보도 실증 주행 성공,헤럴드경제,2024.08.09.,2,y
현대차·기아 자율주행로봇 “파란불 보고 횡단보도 건넜어요”,아시아경제,2024.08.09.,2,w
"수입차 10대 중 4대, 저가 중국 배터리 장착",문화일보,2024.08.09.,2,y
"아우토크립트, '미래모빌리티센터' 오픈",전자신문,2024.08.09.,2,y
"트럼프 ""대통령에 금리 발언권 줘야…내가 지면 경제공황""(종합)",아시아경제,2024.08.09.,1,y
[춘추칼럼] 인간은 음악과 함께 성장한다,대전일보,2024.08.09.,1,y
잇따른 화재로 ‘전기차 공포증’ 확산에… 배터리 제조사 공개 의무화...,세계일보,2024.08.09.,1,y
[하루만보]문화예술역사 어우러진 '토영이야~길-예술의 향기길',아시아경제,2024.08.09.,2,y
새로운 하늘길로 더 가까워진 포르투갈[공관에서 온 편지],이데일리,2024.08.09.,1,w
‘전기차포비아’에 계약 취소… 하반기 신차 출시 노심초사,서울신문,2024.08.09.,1,y
“트럼프 지면 평화적 정권이양 확신 못해”,서울신문,2024.08.09.,1,n
"인천 전기차 포비아 확산, 차주들…“지하주차 눈치”",경기일보,2024.08.09.,2,n
지하주차장 전기차 화재진압 시스템 개발 속도,이데일리,2024.08.09.,2,n
"[넥스트 반도체 핵심 '경기기업'②]일렉트로엠, 세계 최고 수준 '연자성...",전자신문,2024.08.09.,1,n
"“트럼프도 해리스도 관심없는, 美 재정적자가 리스크”",이데일리,2024.08.09.,1,n
‘美무역적자국’ 한국이 일본 처음 추월했다…트럼프 당선땐 리스크,중앙일보,2024.08.09.,1,n
"[CarTalk]영원한 1등은 없다...하반기 자동차, 왕좌를 노린 경쟁 치열해...",한국일보,2024.08.09.,2,n
[역경의 열매] 김영한 (7) 하나님 은혜로 학비 염려 없는 독일 유학 생활,국민일보,2024.08.09.,1,y
[천자춘추] 지구 보호막 두 얼굴 ‘오존’,경기일보,2024.08.09.,1,w
"전기차 대형사고에, 대물한도 10억 → 20억 상향 나선 손보업계[금융팀...",동아일보,2024.08.09.,1,n
"월즈 “내가 진짜 흙수저”… 밴스 “월즈, 이라크 파병 외면”",동아일보,2024.08.09.,2,w
"슈가가 탄 ‘도로 위 무법자’ 전동 스쿠터, 교통사고 年 2000건",국민일보,2024.08.09.,2,y
[투데이 窓]지금 청춘들은 '보더리스'(Borderless) 세대일까,머니투데이,2024.08.09.,1,w
바이든 “트럼프 ‘선거 지면 피바다’ 발언은 진심”,국민일보,2024.08.09.,1,n
‘전기차 화재 공포 확산’…지하주차장 충전시설 논란,강원일보,2024.08.09.,2,n
전기차가 내연차보다 불 잘 난다는데… 진실일까,조선일보,2024.08.09.,1,y
[사설] 배터리 제조사 정보 공개해 소비자에 선택권 줘야,국민일보,2024.08.09.,1,n
“전기차 주차말라” 갈등 고조… “배터리 제조사 어디” 문의 쇄도,국민일보,2024.08.09.,2,w
'전기차 안 사요' 강원도내 보조금 지급 건수 절반 밑돌아,강원도민일보,2024.08.09.,1,w
[춘추칼럼]인간은 음악과 함께 성장한다,강원일보,2024.08.09.,1,n
해리스 가는 곳마다 장사진…“바이든 때와 달라”,중앙일보,2024.08.09.,1,w
명성보다 실력…‘넘사벽’ 한국양궁 지탱한 힘이었다,경향신문,2024.08.10.,1,n
"""걸음걸이가 똑같잖아"" 전과 21범 잡은 13년차 형사의 '눈썰미'[베테랑]",머니투데이,2024.08.10.,2,n
보양식 대접부터 원정 응원까지…“선수들 아버지같이 챙겨”,동아일보,2024.08.10.,1,w
[취재수첩] 차량 화재가 '전기차 포비아'까지 이르게 한 정부,한국경제,2024.08.10.,1,n
“한·중 ‘역커플링 시대’…유럽 에어버스 같은 경협 프로젝트 추진하...,중앙SUNDAY,2024.08.10.,1,n
‘H마트에서 울다’ 작가 “떠나보낸 엄마 느끼려 한국어 배워요”,조선일보,2024.08.10.,2,n
"서울시, 충전 90%↑ 전기차 아파트 지하주차 제한 ‘권고’",국민일보,2024.08.10.,1,n
[금주의 키워드] 전기차 포비아,중앙SUNDAY,2024.08.10.,1,n
"납량물 영화의 변화, 공포보다 재난이 더 시원·통쾌하다",중앙SUNDAY,2024.08.10.,2,w
수입 디젤차 잇단 출시… 틈새시장 공략 통할까,세계일보,2024.08.11.,1,y
"엄마 보고 계시나요?…'역도요정' 박혜정, 한국新으로 값진 은[올림픽]",서울경제,2024.08.11.,2,w
"[기고]안전거래 시스템, 중고거래 신뢰 위한 변화의 시작",경향신문,2024.08.11.,2,w
"안일했다, 전기차…뒤늦게 분주해진 업계",경향신문,2024.08.11.,1,n
먹방 기우(杞憂),한국일보,2024.08.11.,1,w
충전기 과충전 방지 장비 설치… 배터리 제조사 정보 공개 추진,세계일보,2024.08.11.,1,y
지하주차 막고 충전시설 지상에… 권고 그쳐 효과는 의문,세계일보,2024.08.11.,1,n
[기고] 헌법 근간 흔드는 노란봉투법 재고돼야,디지털타임스,2024.08.11.,1,w
"""1년 내내 하청 노조 교섭 시달리다 시장서 밀려날 수도""",한국경제,2024.08.11.,1,n
"제네시스, 미국 단독매장 56곳으로 확장",한국경제,2024.08.11.,1,y
"[AI시대, 가치 네트워크에 주목하라] 차·조선·철강 `가치 네트워크` 집...",디지털타임스,2024.08.11.,2,y
벤츠가 불붙인 '전기차 배터리 실명제'… 현대차 가장 먼저 13종 공개,파이낸셜뉴스,2024.08.11.,1,y
"""지상에서 충전…소방장비 배치"" 아파트 입주자·시공사 대책 마련 나섰...",매일신문,2024.08.11.,2,y
K배터리 ‘안전성’ 완성차 ‘신뢰도’ 확보 주력,매일신문,2024.08.11.,1,y
수출 ‘투톱’ 반도체+자동차 2분기 비중 30% 돌파,파이낸셜뉴스,2024.08.11.,1,y
반도체·자동차 수출 비중 35% 첫 돌파,부산일보,2024.08.11.,1,y
중고 매물 급증에 가격 하락세… '전기차 포비아' 확산,부산일보,2024.08.11.,1,n
"""90% 충전땐 아파트 출입 제한""…근거없는 전기차 대책",한국경제,2024.08.11.,2,n
부산항서 컨테이너 하역하면서 LNG 급유 첫 성공,부산일보,2024.08.11.,2,w
"3㎝ 볼트 만드는데 200억 투입…""혁신로봇이 불량률 확 줄였다""",한국경제,2024.08.11.,2,y
"730평 도금공정 라인에 단 두사람…부품마다 다른 열처리, DX로 관리",한국경제,2024.08.11.,2,y
전기차 '포비아'…지역 중고 시장서도 '외면',대전일보,2024.08.11.,1,n
韓 수출서 반도체·차 비중 30% 넘어…사상 최고치,서울경제,2024.08.11.,1,y
美 감원 '칼바람'…고임금 시대 저문다,매일경제,2024.08.11.,1,n
"현대차, 전기차 배터리 제조사 공개",매일경제,2024.08.11.,1,w
'하반기 주주환원 기대' 현대차 눈여겨봐야 [이번주 추천주],서울경제,2024.08.11.,1,y
"印, 車 넘어 '세미콘시티'로 대개조…""3년내 팹 3곳 추가 유치""",서울경제,2024.08.11.,2,y
14억 인구 젊은 印…반도체 이어 新산업 격전지로,서울경제,2024.08.11.,2,w
中 빈자리 꿰찬 '스윙 컨트리'…新공급망 품었다,서울경제,2024.08.11.,2,n
"""경제블록 극단적 파편화땐 세계 GDP 7% 손실""",서울경제,2024.08.11.,2,w
"쿠팡, 택배분류인력 연내 100% 직고용",매일경제,2024.08.11.,2,w
"금융권 ""100만 외국인 근로자 잡아라""",이데일리,2024.08.11.,1,w
[매경춘추] 넷제로,매일경제,2024.08.11.,2,y
"""학원보다 좋아요""…방학에도 붐비는 늘봄학교",한국경제,2024.08.11.,1,n
"[단독] 아이오닉9, 11월 LA 모터쇼서 첫 공개",매일경제,2024.08.11.,1,n
‘청라 전기차 화재’ 자차신청 600대…보험사 선처리 후 구상권,서울경제,2024.08.11.,1,n
중고차값 하락에 신차 계약취소까지… 업계 대응마련 고심,디지털타임스,2024.08.11.,1,y
정부·車·배터리업계 손잡고 전기차 인식 개선...'캐즘' 넘는다,머니투데이,2024.08.11.,1,w
"올여름, 괌에서 신나게 놀아볼괌~",매일경제,2024.08.11.,1,w
달 달 무슨 달 쟁반같은 서울달 어디 어디 떴나 여의도에 떴지,매일경제,2024.08.11.,2,y
"배터리 제조사 다 공개한 현대차, '전기차 포비아' 진화될까",머니투데이,2024.08.11.,1,y
[ET시선]전기차 포비아 확산 막아야,전자신문,2024.08.11.,2,n
[이내찬 교수의 광고로보는 통신역사] 〈15〉선시장 후포용 보편적 서비...,전자신문,2024.08.11.,1,n
무더위에 빨래도 요리도 못하고…'돌봄 공백' 고립된 장애인들[르포],머니투데이,2024.08.11.,1,y
강원지역 휘발유 값 2주 연속 하락 … “다음주에도 계속”,강원일보,2024.08.11.,1,y
"국토부, 중고차 연장보증 공제보험 출시",디지털타임스,2024.08.11.,2,w
시중보다 50% 이상 저렴한 중고차 공제보험상품 나왔다,대전일보,2024.08.11.,1,w
전기차 중고 매물 184% 급증…10대 중 1대는 벤츠 EQ,한겨레,2024.08.11.,1,n
아파트 전기차 충전기 98% 통신불가 완속형…“과충전 방지 어려워”,전자신문,2024.08.11.,1,w
수소 전시회 'H2MEET' 'H2WORLD' 통합…다음달 25일 개최,머니투데이,2024.08.11.,1,y
"정부, 전기차 배터리 제조사 정보 공개 추진",이데일리,2024.08.11.,1,y
"현대차, 전기차 13종 배터리 제조사 공개…'전기차 포비아' 불식 총력",전자신문,2024.08.11.,1,y
"더존비즈온, KG그룹에 비즈니스 플랫폼 `옴니이솔` 공급",디지털타임스,2024.08.11.,1,w
반도체·車 수출액 비중 첫 30% 넘었다,국제신문,2024.08.11.,1,y
"반도체+자동차, 2분기 수출 31% 차지… 역대 최고 비중",디지털타임스,2024.08.11.,2,y
소매판매 '최장' 9분기째 감소…내수 부진에 성장률 전망 줄하향,이데일리,2024.08.11.,2,y
"충남도 ""공동주택 전기차 충전율 90% 이하 제한…충전시설 지상화 권고...",대전일보,2024.08.11.,1,n
‘전기차 포비아’ 심화…중고 전기차 매물 확 늘었다,서울경제,2024.08.11.,1,n
"[돈+Cars] 하이테크에 럭셔리 더한 K8, 한국 대표 세단으로",디지털타임스,2024.08.11.,1,n
"[돈+Cars] 싼타페, `집`같은 편안함 실었다… 운전이 여행처럼 설렌다",디지털타임스,2024.08.11.,2,n
"[기고] 잠재력의 최대치, ‘아레테’ 경지에 오른 한국 양궁",조선일보,2024.08.12.,1,n
[고양이 눈]차도 놀고 싶었을까,동아일보,2024.08.12.,2,n
인제군 모터스포츠 전문인력 ‘오피셜’ 양성,강원일보,2024.08.12.,1,n
필립 비달 스트라드비젼 CBO “무인 자율주행 상용화 아직 멀어…안전 ...,서울경제,2024.08.12.,2,n
전기차 ‘캐즘’에도 中 제외 8.2% 늘었다,세계일보,2024.08.12.,1,n
잇따른 화재에 대전도 전기차 포비아 심화…화재 지원 조례는 무용지물,대전일보,2024.08.12.,1,w
파리의 ‘센강 개회식’ 다음은 “자동차 없는 올림픽”,경향신문,2024.08.12.,1,n
오늘의 부고 - 2024년 8월 13일,경향신문,2024.08.12.,1,y
신형 ‘액티언’ 20일부터 도로에서 본다,경향신문,2024.08.12.,1,y
대리기사 보험도 할인·할증 제도 도입,경향신문,2024.08.12.,2,y
"사고 많은 대리기사, 보험가입 쉬워진다",디지털타임스,2024.08.12.,1,n
이래AMS 인수전 뛰어든 한세예스24그룹,한국경제,2024.08.12.,1,y
[도청도설] 전기차 화재 공포,국제신문,2024.08.12.,1,y
"윤원석 ""인천경자청, 中첨단기업 유치해 한계 넘을 것""",한국경제,2024.08.12.,1,y
"개통 50년, 지하철의 세계",한국경제,2024.08.12.,1,n
"""우리는 대부분 한국산 배터리""...기아, BMW도 현대차 이어 '깠다'",한국일보,2024.08.12.,2,n
한국 빛내는 젊은 음악가들 한자리,한국경제,2024.08.12.,1,n
8월13일 궂긴 소식,한겨레,2024.08.12.,2,y
부산 2분기 '광공업'만 웃었다… 소매판매·건설수주 '침체일로',부산일보,2024.08.12.,2,y
[fn사설] 등떠밀린 대책으론 전기차 산업 주도 어림없다,파이낸셜뉴스,2024.08.12.,1,w
이제야 전기차 화재 컨트롤타워 꾸린 정부,매일경제,2024.08.12.,1,n
"정부, 2년전 검토해놓고…'배터리 이력관리' 미적댔다",서울경제,2024.08.12.,1,w
"""3관왕 임시현도 1년 전엔 무명, 다른 선수들에 엄청난 자극""",매일경제,2024.08.12.,2,w
[데스크 칼럼] 부산은 싱가포르가 될 수 있을까,부산일보,2024.08.12.,1,y
[이슈플러스] 전기차 배터리 인증제 내년 시행…정보공개 포함 '촉각',전자신문,2024.08.12.,1,y
배터리 실명제 반사익 삼성SDI·LG엔솔 들썩,매일경제,2024.08.12.,1,y
"기아, 전기차 7종 배터리 제조사 공개…中 CATL 외 모두 국내 업체",전자신문,2024.08.12.,1,w
전기차 화재에 데였나…수입차 '폭탄 세일',한국경제,2024.08.12.,1,w
"""484개 기업, 38조 투자 유도…8년 동안 2만명 고용 창출""",한국경제,2024.08.12.,2,w
"美 IRA·반도체법 따른 투자 프로젝트, 40%가 지연 또는 중단",이데일리,2024.08.12.,2,w
[매경이코노미스트] 해리스 vs 트럼프 극과 극 기후정책,매일경제,2024.08.12.,2,n
"HS화성, 아파트에 차량용 질식소화포 비치",한국경제,2024.08.12.,2,y
"서울반도체, 8개 분기만 흑자 전환…자동차 조명사업 실적 상승견인",서울경제,2024.08.12.,1,y
'전기차 공포증' 확산에 정부 종합 대책 수립 착수,강원일보,2024.08.12.,1,y
"기아, 전기차 7종 배터리 제조사 공개…현대차 이어 두번째",매일신문,2024.08.12.,1,w
"[이슈플러스] 전기차 화재 예방 법, 22대 국회서 손본다",전자신문,2024.08.12.,1,w
韓 판매 EQE엔 모두 파라시스 탑재했나…'벤츠 침묵'에 소문만 무성,서울경제,2024.08.12.,2,n
"이정훈 대표 “하반기 마이크로 LED 양산, 2개국 고객 승인”",전자신문,2024.08.12.,2,n
"물류 스타트업, 로봇·블록체인으로 혁신 중",한국경제,2024.08.12.,1,n
"""기업 AI 전환 속도 점점 빨라져 챗봇 솔루션 한달 내 구축 가능""",한국경제,2024.08.12.,2,y
"김제 특장차 클러스터로 우뚝, 그 뒤엔…",매일경제,2024.08.12.,1,y
자동차 부품업체 10가지 개선 특명 21억원 비용절감 [COST ZERO],매일경제,2024.08.12.,2,y
정부 '전기차 포비아' 조기 진압 나섰다,전자신문,2024.08.12.,2,y
"""전기차가 절반이 넘어?""…중국시장 계속 커지는 3가지 이유는",머니투데이,2024.08.12.,1,y
"[오늘의 DT인] 직함만 무려 20개…이호근 교수 ""수소차 타는 건 전기차 ...",디지털타임스,2024.08.12.,1,w
"광 반도체 전문 서울반도체 흑자 전환, 8분기 만",조선일보,2024.08.12.,1,y
쪼개진 동탄도심 하나로…경부동탄터널 상부 도로 2곳 8월중 개통,한겨레,2024.08.12.,2,w
전기차 대안 재주목… 디젤 신차 속속 출시,디지털타임스,2024.08.12.,1,y
"[사진뉴스] 현대차 아산공장 후원 굿네이버스 온주복지관, 틴친캠프 개...",대전일보,2024.08.12.,1,y
"한국타이어, 하도급 대금 늑장 지급 1위 ‘불명예’",국제신문,2024.08.12.,1,n
지난해 하도급 결제대금 60일이나 늦게 지급한 공시기업은 한국타이어,대전일보,2024.08.12.,2,n
"엠로, HL만도 '글로벌구매 통합시스템' 프로젝트 수주",전자신문,2024.08.12.,2,y
반도체·선박·승용차 ‘삼두마차’ 질주… 8월초 수출 17% 증가 호조세...,문화일보,2024.08.12.,1,y
동탄1·2신도시 생활권 통합… 6개 연결도로 연내 개통,문화일보,2024.08.12.,1,w
국내 車업체 제조사 공개 선제대응… “전기차 불안감 덜어내고 신뢰 회...,문화일보,2024.08.12.,1,y
배터리 수급처 직접 찾는 벤츠 차주…화재대책 머리 맞대는 民官,아시아경제,2024.08.12.,2,w
‘多사고’ 대리기사도 보험가입 할수있다,문화일보,2024.08.12.,1,w
현대차·기아 배터리 제조사 전면 공개,헤럴드경제,2024.08.12.,2,w
"급물살 타는 배터리 실명제, 전기차 시장 '판도라상자' 열리나",아시아경제,2024.08.12.,1,w
둔촌주공 전기차 대책 세운다,헤럴드경제,2024.08.12.,1,y
수출 16.7% 증가...무역적자 29억달러,헤럴드경제,2024.08.12.,2,y
"[인터뷰]""재편되는 글로벌 공급망…韓·印 손 굳게 맞잡을 때""",아시아경제,2024.08.12.,1,w
"이노션, ‘車마케팅 전문가’ 플뤼메케 COO 영입",헤럴드경제,2024.08.12.,1,y
범부처 ‘전기차 화재 긴급회의’ 킥오프,헤럴드경제,2024.08.12.,1,y
LG헬로 ‘눈에 띄는 그녀들’ 시즌6 첫방,헤럴드경제,2024.08.12.,2,w
[기자수첩]아반떼 N 팬페스티벌을 기다리며,아시아경제,2024.08.12.,2,w
8월 들어서도 두자릿수 수출 증가세…반도체·車 ‘쌍끌이’(종합),이데일리,2024.08.12.,2,y
"KGM, '액티언' 본계약…3395만원부터, 네이버 스토어서 판다",전자신문,2024.08.12.,2,y
"에스엠인스트루먼트, 설비 진단 고성능 초음파 음향카메라 'BATCAM 2S' 출...",전자신문,2024.08.12.,1,y
"“한·미, 무역 파트너로 긍정적이지만… ‘트럼프 불확실성’ 대비해야...",문화일보,2024.08.12.,2,w
"폭주족 뿌리 뽑는다…대구경찰청, '8·15 특별단속' 집결부터 원천차단",매일신문,2024.08.12.,1,w
"기아, 배터리 제조사 오늘 홈페이지에 공개…수입차는 논의 중",아시아경제,2024.08.12.,1,y
"미래에셋박현주재단, 中심천서 글로벌 문화체험",디지털타임스,2024.08.12.,1,y
"충남도, '천안아산 R&D 집적지구' 속도전",대전일보,2024.08.12.,1,y
"금융위원장, LG·현대차 등 간담회 초청…밸류업 참여 독려",아시아경제,2024.08.12.,2,y
"한은 ""반도체·조선·車 맑음, 이차전지·철강 흐림""",아시아경제,2024.08.12.,1,w
'천안아산 KTX 역세권 R&D 집적지구' 완공에 속도 붙어,전자신문,2024.08.12.,2,w
"우경정보기술, '스피어AX'로 사명 변경…“AI 전환 리딩할 것”",전자신문,2024.08.12.,2,y
사슴의 뿔을 훔친 인간… 고꾸라진 생명을 꽂은 폭력의 당당함[세계로 ...,문화일보,2024.08.12.,2,y
"지원은 퍼펙트, 선발은 노터치… 공정으로 ‘10점 만점’ 협회 이끌다[...",문화일보,2024.08.12.,1,w
"이노션, 유럽법인 COO에 '車 마케팅 전문가' 수잔 플뤼메케 영입",아시아경제,2024.08.12.,2,y
"여름엔 스포츠, 가을엔 미술… 이젠 비엔날레다",문화일보,2024.08.12.,1,w
승차벨 눌러도 ‘쌩’… 경기도내 버스 ‘무정차’ 여전,경기일보,2024.08.12.,1,w
[M&A알쓸신잡]에어프로덕츠코리아 매물로…산업가스 시장 주목하는 큰손...,아시아경제,2024.08.12.,1,w
[여백] 전기차,대전일보,2024.08.12.,2,w
"전기차 화재 대응 법안들, 이번엔 통과될까",경향신문,2024.08.12.,1,w
"발 마사지기에 샴페인 냉장고까지…회장님 차, 무릉도원이네요",경향신문,2024.08.12.,1,w
[목멱칼럼]피터팬 증후군만 키우는 대기업 인식 왜곡,이데일리,2024.08.12.,1,y
명동 주름잡은 원로 주먹… ‘신상사파’ 신상현 별세,세계일보,2024.08.12.,1,w
이제는 2028년 LA로…‘차 없는 올림픽’ 온다[파리올림픽 결산],이데일리,2024.08.12.,1,y
"기업은 '안전성' 통해 우위 점하고, 정부는 '화재' R&D 지원 나서야",이데일리,2024.08.12.,1,n
"""배터리 안전규격 강화해야 전기차 포비아 확산 막는다""",이데일리,2024.08.12.,1,w
“약자들이 모인 창업 생태계…스타트업 뭉쳐 할말 할 것”,이데일리,2024.08.12.,2,w
[백상논단]결단이 필요한 시점,서울경제,2024.08.12.,1,y
"차량 몰수, 상한 없는 벌금…음주운전에 자비없는 美·英",이데일리,2024.08.12.,1,n
[단독]인간 앞서는 AI 곧 나올수도...오픈AI 제이슨 권 “통제된 AI가 우...,조선일보,2024.08.12.,1,y
1970년대 명동 장악 ‘신상사파’ 신상현씨 별세,서울신문,2024.08.12.,2,y
[사설] 전기차 배터리 공개 등 안전대책 다시 세워라,서울신문,2024.08.12.,1,w
[데스크 시각] 이젠 생존외교가 시급하다,서울신문,2024.08.12.,2,y
“대한민국 미래차 산업 경쟁력 높이게 모든 것 지원”,서울신문,2024.08.12.,2,w
"[단독] 현대차, 배터리 제조사 공개… 기아·BMW 곧 합류",조선일보,2024.08.12.,1,n
2028년쯤에야 첫 개통? 왜 아직 미국엔 고속철도가 없을까 [워싱턴 아나...,한국일보,2024.08.12.,1,y
한국산 12개·중국산 1개뿐...현대차가 전기차 배터리 제조사 과감히 공...,한국일보,2024.08.12.,2,y
타이어업계 상반기 판매량 5년만에 최다,국민일보,2024.08.12.,1,w
"하이브리드용 배터리 TOP3는 삼성, CATL, SK… LG는?",국민일보,2024.08.12.,1,w
전기차 화재 공포 확산… 중고 매물 184% 늘어,동아일보,2024.08.12.,1,y
[인천의 아침] 기후위기를 넘기 위해 해야 할 일,경기일보,2024.08.12.,2,w
"전기차 검사소 70%, 배터리 정밀진단기 없어… “청진기만 대는 격”",동아일보,2024.08.12.,1,y
저소음 전기버스 경고음 ‘딜레마’,국민일보,2024.08.12.,1,y
세계 시장 절반 점유한 중국산 배터리… 테슬라도 고객,조선일보,2024.08.12.,1,w
美·유럽선 ‘배터리 여권제’… 2026년부터 공개 의무화,조선일보,2024.08.12.,2,w
"불안한 전기차주, 타던 차도 내놓는다",국민일보,2024.08.12.,1,y
"인천 전기차 화재, 자차보험 신청 600대 육박",국민일보,2024.08.12.,1,w
김우진 “金 영광은 이미 과거… 3관왕도 바닥부터 경쟁시키는게 한국 ...,조선일보,2024.08.12.,1,y
반도체·車 쌍두마차 수출 비율 30% 돌파,조선일보,2024.08.12.,1,y
"[사설] 전기차 배터리 제조사 정보, ‘영업 기밀’ 될 수 없다",조선일보,2024.08.12.,1,w
‘전기차 포비아’ 확산,세계일보,2024.08.12.,1,n
[사설] 내수 부진·외부 충격에 성장률 주춤…정교한 복합대책 서둘러라,서울경제,2024.08.12.,2,n
전기차 충전기 지상화? 돈은? 공간은?… 아파트들 골치,국민일보,2024.08.12.,1,n
"[사설]전기차 화재 공포 확산, 안전 대책 마련해야 할 때",강원일보,2024.08.12.,1,n
[오늘의시선] ‘전기차 포비아’ 잠재울 안전대책 서두르자,세계일보,2024.08.13.,1,n
두 자녀 가정도 자동차 취득세 50%만 낸다,경향신문,2024.08.13.,2,n
불매운동·경쟁사 공개에 떠밀려…배터리 제조업체 밝힌 벤츠,경향신문,2024.08.13.,1,w
발화 위험 거의 없는 ‘전고체 배터리’ 2027년 등장 예고…안전 논란 ...,경향신문,2024.08.13.,1,n
화재 예방기능 없는 충전기 보조금 전액 삭감,서울경제,2024.08.13.,2,y
"""아파트지하 말곤 車충전할 곳 없어요""…인천 화재에도 충전 고작 2% 줄...",서울경제,2024.08.13.,1,w
"정부, 모든 전기차 제조사에 배터리 정보공개 권고키로",디지털타임스,2024.08.13.,1,y
"현대글로비스, 1500억원 투자 아시아나 화물사업 인수 참여",매일경제,2024.08.13.,2,w
"두 자녀 가정, 자동차 취득세 50% 깎아준다",세계일보,2024.08.13.,2,w
[CEO 칼럼] 청년 돌아오는 도시는 무엇이 특별할까?,국제신문,2024.08.13.,2,y
"기아AutoLand광명-초록우산, 의료체험학습 후원...지역 아동 성장 '밑거...",경기일보,2024.08.13.,2,y
[이원 기자의 영화 人 a view] ‘리볼버’ 전도연,국제신문,2024.08.13.,2,w
"""배터리 정보공개는 미봉책…정부·업계 근본대책 머리 맞대야""",이데일리,2024.08.13.,2,w
폐반도체가 배터리 원료로…'경북형 탄소중립' 시동건다,한국경제,2024.08.13.,2,y
"정부, 모든 전기차에 '배터리 정보 공개' 권고한다",이데일리,2024.08.13.,1,y
"정부, 모든 전기차 배터리 제조사 공개 권고",파이낸셜뉴스,2024.08.13.,2,w
[fn사설] 대범해진 보험사기 높은 형량으로 뿌리 뽑아야,파이낸셜뉴스,2024.08.13.,2,n
경성대학교- 재학생 단계별 맞춤형 고용서비스 지원…글로벌 캠퍼스 선...,국제신문,2024.08.13.,2,y
"[차이나 톡] 왕푸징의 화웨이, 질주하는 중국의 산업경쟁력",파이낸셜뉴스,2024.08.13.,2,y
전기차 충전기 10대 중 9대는… 과충전 못 막는 ‘완속’,경기일보,2024.08.13.,1,n
"전기차 소비자 ""화재 책임소재 불안""…BMW·벤츠도 배터리 정보공개 행...",매일신문,2024.08.13.,2,n
"삼성 'AI 맞춤 패널' , LG '차량용 OLED'…中 추격 뿌리친다",한국경제,2024.08.13.,2,y
"""융합형 인재 위해 전공 벽 허물고 신산업 중심 학사 개편""[혁신 지방대...",파이낸셜뉴스,2024.08.13.,1,w
정부 압박에…뒤늦게 배터리社 공개한 벤츠,한국경제,2024.08.13.,1,n
[POWER COMPANY] 수출 플러스 `게임체인저`… 작년 245조 무역보험 지원,디지털타임스,2024.08.13.,1,y
[POWER COMPANY] `7000억 달러 수출` 위해 `미래동력` 지원 고삐,디지털타임스,2024.08.13.,1,y
지상에 전기차 충전기 설치 때 보조금 준다,부산일보,2024.08.13.,2,y
자녀 둘 가구도 내년부터 車취득세 ‘반값’,서울신문,2024.08.13.,1,y
"두 자녀 가정, 자동차 취득세 50% 감면",부산일보,2024.08.13.,1,y
2자녀 가구도 車취득세 50% 감면,한국경제,2024.08.13.,1,y
해남·고성 등 인구감소지역에 집 사면 취득세 50% 깎아준다,서울경제,2024.08.13.,1,w
요트·보트 규제 풀어 해양레저산업 키운다,서울경제,2024.08.13.,1,w
보험사기 걸려도 벌금뿐? 업계 관계자는 가중처벌한다,파이낸셜뉴스,2024.08.13.,2,n
"하이브리드 앞세운 렉서스, ‘서비스 강화’로 韓 공략",파이낸셜뉴스,2024.08.13.,2,y
"""고객 불안감 해소"" 현대차·기아, 전기차 무상점검",파이낸셜뉴스,2024.08.13.,2,y
[단독] 화재위험 큰 車충전기 보조금 끊는다,매일경제,2024.08.13.,1,n
경남 2028년까지 외국인 유학생 1만 명 유치 목표,국제신문,2024.08.13.,1,w
"주행거리 1000㎞, 충전소 필요없다…'EREV 기술' 소환한 현대차",한국경제,2024.08.13.,1,y
뒤늦게 배터리 정보 공개한 벤츠 …'화재 배터리' 장착 5582대,매일경제,2024.08.13.,1,n
"""엔비디아 바닥 쳤다""…월가, 잇단 매수 추천",한국경제,2024.08.13.,1,w
[전문인칼럼] 대한민국 미래차 산업의 핵심: 차량용 디스플레이·인포테...,대전일보,2024.08.13.,2,y
"GM, 中서 대규모 구조조정 착수",서울경제,2024.08.13.,2,n
"기존 충전기 32만대 예방기능 없어…""화재대책 근거 부족"" 지적도",서울경제,2024.08.13.,2,n
GM도 결국 백기 中사업 구조조정,매일경제,2024.08.13.,1,n
[단독] 현대차 '전기차 위기' 넘을 新무기 꺼낸다,한국경제,2024.08.13.,2,n
공채의 종말…중소→중견→대기업 '계단형 이직 시대',한국경제,2024.08.13.,2,y
車 취득세 50% 감면 두 자녀 가구도 적용,매일경제,2024.08.13.,2,w
"中 지리 고급 전기차, 내년 日시장 진출",한국경제,2024.08.13.,2,n
"""체육은 장애인에 희망…기업 후원 더 늘었으면""",서울경제,2024.08.13.,2,w
유럽·중동 청년들 “한반도 평화 염원” 한마음,세계일보,2024.08.13.,1,w
"""전기차 화재난 지가 언젠데..."" 뒷북 대책에 효과 있을까",머니투데이,2024.08.13.,1,n
정차한 채 에어컨 '펑펑'...공회전 제한구역 ‘에어컨 풀가동’ 눈살,경기일보,2024.08.13.,1,y
골목길서 툭…킥라니 무면허 운전 2년새 3배 늘어,서울경제,2024.08.13.,1,w
"“고객 불안감 해소” 현대차그룹, 자사 전기차 43만대 무상점검",서울경제,2024.08.13.,2,y
